Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,MG,BELO HORIZONTE,POSTO TUNEL LTDA,08.160.834/0001-76,AVENIDA CRISTIANO MACHADO,71,,FLORESTA,31110-230,GASOLINA ADITIVADA,06/07/2022,"6,49",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO TUNEL LTDA,08.160.834/0001-76,AVENIDA CRISTIANO MACHADO,71,,FLORESTA,31110-230,ETANOL,06/07/2022,"4,66",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO TUNEL LTDA,08.160.834/0001-76,AVENIDA CRISTIANO MACHADO,71,,FLORESTA,31110-230,GASOLINA,06/07/2022,"6,29",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO SAO JOAO COMB E LUBR LTDA,17.187.832/0001-61,RUA DESEMBARGADOR BARCELOS,196,,CALAFATE,30480-250,DIESEL S10,06/07/2022,"7,78",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO SAO JOAO COMB E LUBR LTDA,17.187.832/0001-61,RUA DESEMBARGADOR BARCELOS,196,,CALAFATE,30480-250,GASOLINA ADITIVADA,06/07/2022,"6,42",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO SAO JOAO COMB E LUBR LTDA,17.187.832/0001-61,RUA DESEMBARGADOR BARCELOS,196,,CALAFATE,30480-250,ETANOL,06/07/2022,"4,64",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO SAO JOAO COMB E LUBR LTDA,17.187.832/0001-61,RUA DESEMBARGADOR BARCELOS,196,,CALAFATE,30480-250,GASOLINA,06/07/2022,"6,22",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO CN LTDA,07.362.678/0001-63,AVENIDA CRISTIANO MACHADO,1383,,DA GRACA,31140-660,GASOLINA ADITIVADA,06/07/2022,"6,63",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO CN LTDA,07.362.678/0001-63,AVENIDA CRISTIANO MACHADO,1383,,DA GRACA,31140-660,ETANOL,06/07/2022,"4,66",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO CN LTDA,07.362.678/0001-63,AVENIDA CRISTIANO MACHADO,1383,,DA GRACA,31140-660,GASOLINA,06/07/2022,"6,43",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO MINAS SHOPPING LTDA,06.980.628/0001-87,AVENIDA CRISTIANO MACHADO,3400,,UNIAO,31160-342,GNV,06/07/2022,"5,29",,R$ / m³,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO MINAS SHOPPING LTDA,06.980.628/0001-87,AVENIDA CRISTIANO MACHADO,3400,,UNIAO,31160-342,DIESEL S10,06/07/2022,"7,49",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO MINAS SHOPPING LTDA,06.980.628/0001-87,AVENIDA CRISTIANO MACHADO,3400,,UNIAO,31160-342,GASOLINA ADITIVADA,06/07/2022,"6,44",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO MINAS SHOPPING LTDA,06.980.628/0001-87,AVENIDA CRISTIANO MACHADO,3400,,UNIAO,31160-342,ETANOL,06/07/2022,"4,66",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO MINAS SHOPPING LTDA,06.980.628/0001-87,AVENIDA CRISTIANO MACHADO,3400,,UNIAO,31160-342,GASOLINA,06/07/2022,"6,29",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,CENTRO COMERCIAL DE COMBUSTIVEIS MINAS PALMARES LTDA,06.296.943/0001-90,AVENIDA JOSE CLETO,152,,PALMARES,31160-470,DIESEL S10,06/07/2022,"7,59",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,CENTRO COMERCIAL DE COMBUSTIVEIS MINAS PALMARES LTDA,06.296.943/0001-90,AVENIDA JOSE CLETO,152,,PALMARES,31160-470,ETANOL,06/07/2022,"4,62",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,CENTRO COMERCIAL DE COMBUSTIVEIS MINAS PALMARES LTDA,06.296.943/0001-90,AVENIDA JOSE CLETO,152,,PALMARES,31160-470,GASOLINA,06/07/2022,"6,19",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0001-68,RUA POUSO ALEGRE,1500,,FLORESTA,31015-030,GASOLINA ADITIVADA,06/07/2022,"6,39",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0001-68,RUA POUSO ALEGRE,1500,,FLORESTA,31015-030,ETANOL,06/07/2022,"4,67",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0001-68,RUA POUSO ALEGRE,1500,,FLORESTA,31015-030,GASOLINA,06/07/2022,"6,09",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0002-49,RUA FLAVIO DOS SANTOS,459,,FLORESTA,31015-150,DIESEL S10,06/07/2022,"7,7",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0002-49,RUA FLAVIO DOS SANTOS,459,,FLORESTA,31015-150,ETANOL,06/07/2022,"4,67",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DO PAPAI LTDA,17.418.377/0002-49,RUA FLAVIO DOS SANTOS,459,,FLORESTA,31015-150,GASOLINA,06/07/2022,"6,09",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,DIESEL S10,06/07/2022,"7,39",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,ETANOL,06/07/2022,"4,64",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO DANUBIO LTDA,17.288.630/0001-06,RUA JACUI,2300,,RENASCENCA,31140-650,GASOLINA,06/07/2022,"6,29",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO JAVARI EIRELI,16.679.276/0001-88,RUA DESCALVADO,661,,RENASCENCA,31130-610,ETANOL,06/07/2022,"4,63",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO JAVARI EIRELI,16.679.276/0001-88,RUA DESCALVADO,661,,RENASCENCA,31130-610,GASOLINA,06/07/2022,"6,43",,R$ / litro,BRANCA
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,DIESEL S10,06/07/2022,"7,59",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,ETANOL,06/07/2022,"4,63",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO TRANCOSO LTDA,03.911.603/0001-33,RUA JOSE CLETO,1232,,SANTA CRUZ,31155-290,GASOLINA,06/07/2022,"6,39",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO PARADA OBRIGATORIA LTDA,71.233.852/0001-77,AVENIDA DOS ANDRADAS,3910,,POMPEIA,30280-020,DIESEL S10,06/07/2022,"7,59",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO PARADA OBRIGATORIA LTDA,71.233.852/0001-77,AVENIDA DOS ANDRADAS,3910,,POMPEIA,30280-020,GASOLINA ADITIVADA,06/07/2022,"6,63",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO PARADA OBRIGATORIA LTDA,71.233.852/0001-77,AVENIDA DOS ANDRADAS,3910,,POMPEIA,30280-020,ETANOL,06/07/2022,"4,64",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO PARADA OBRIGATORIA LTDA,71.233.852/0001-77,AVENIDA DOS ANDRADAS,3910,,POMPEIA,30280-020,GASOLINA,06/07/2022,"6,43",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO PHOENIX LTDA,71.155.998/0001-41,RUA PLATINA,999,,PRADO,30411-095,DIESEL S10,06/07/2022,"7,59",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO PHOENIX LTDA,71.155.998/0001-41,RUA PLATINA,999,,PRADO,30411-095,GASOLINA ADITIVADA,06/07/2022,"6,49",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO PHOENIX LTDA,71.155.998/0001-41,RUA PLATINA,999,,PRADO,30411-095,ETANOL,06/07/2022,"4,64",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO PHOENIX LTDA,71.155.998/0001-41,RUA PLATINA,999,,PRADO,30411-095,GASOLINA,06/07/2022,"6,19",,R$ / litro,RAIZEN
SE,MG,BELO HORIZONTE,POSTO JUPITER LTDA,38.619.219/0001-46,AVENIDA TEREZA CRISTINA,2850,,PADRE EUSTAQUIO,30720-230,DIESEL S10,06/07/2022,"7,39",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO JUPITER LTDA,38.619.219/0001-46,AVENIDA TEREZA CRISTINA,2850,,PADRE EUSTAQUIO,30720-230,DIESEL,06/07/2022,"7,29",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO JUPITER LTDA,38.619.219/0001-46,AVENIDA TEREZA CRISTINA,2850,,PADRE EUSTAQUIO,30720-230,ETANOL,06/07/2022,"4,64",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO JUPITER LTDA,38.619.219/0001-46,AVENIDA TEREZA CRISTINA,2850,,PADRE EUSTAQUIO,30720-230,GASOLINA,06/07/2022,"5,95",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,A CARABETTI & CIA LTDA,22.133.011/0001-82,AVENIDA CRISTIANO MACHADO,2000,,CIDADE NOVA,31170-800,DIESEL S10,06/07/2022,"7,64",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,A CARABETTI & CIA LTDA,22.133.011/0001-82,AVENIDA CRISTIANO MACHADO,2000,,CIDADE NOVA,31170-800,GASOLINA ADITIVADA,06/07/2022,"6,44",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,A CARABETTI & CIA LTDA,22.133.011/0001-82,AVENIDA CRISTIANO MACHADO,2000,,CIDADE NOVA,31170-800,ETANOL,06/07/2022,"4,66",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,A CARABETTI & CIA LTDA,22.133.011/0001-82,AVENIDA CRISTIANO MACHADO,2000,,CIDADE NOVA,31170-800,GASOLINA,06/07/2022,"6,29",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO BH LTDA,19.983.865/0001-43,AVENIDA DOS ANDRADAS,1350,,CENTRO,30120-010,GASOLINA ADITIVADA,06/07/2022,"6,41",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO BH LTDA,19.983.865/0001-43,AVENIDA DOS ANDRADAS,1350,,CENTRO,30120-010,ETANOL,06/07/2022,"4,64",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO BH LTDA,19.983.865/0001-43,AVENIDA DOS ANDRADAS,1350,,CENTRO,30120-010,GASOLINA,06/07/2022,"6,21",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO BAHAMA'S LTDA,17.438.508/0001-79,AVENIDA SILVIANO BRANDAO,796,,FLORESTA,31015-434,GASOLINA ADITIVADA,06/07/2022,"6,39",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO BAHAMA'S LTDA,17.438.508/0001-79,AVENIDA SILVIANO BRANDAO,796,,FLORESTA,31015-434,ETANOL,06/07/2022,"4,67",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO BAHAMA'S LTDA,17.438.508/0001-79,AVENIDA SILVIANO BRANDAO,796,,FLORESTA,31015-434,GASOLINA,06/07/2022,"6,19",,R$ / litro,IPIRANGA
SE,MG,BELO HORIZONTE,POSTO QUICK LTDA,17.365.867/0001-43,AVENIDA CORONEL JOSE BENJAMIM,17,,PADRE EUSTAQUIO,30720-430,DIESEL S10,06/07/2022,"7,49",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO QUICK LTDA,17.365.867/0001-43,AVENIDA CORONEL JOSE BENJAMIM,17,,PADRE EUSTAQUIO,30720-430,GASOLINA ADITIVADA,06/07/2022,"6,1",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO QUICK LTDA,17.365.867/0001-43,AVENIDA CORONEL JOSE BENJAMIM,17,,PADRE EUSTAQUIO,30720-430,ETANOL,06/07/2022,"4,64",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO QUICK LTDA,17.365.867/0001-43,AVENIDA CORONEL JOSE BENJAMIM,17,,PADRE EUSTAQUIO,30720-430,GASOLINA,06/07/2022,"5,95",,R$ / litro,VIBRA ENERGIA
SE,MG,BELO HORIZONTE,POSTO COELHO LTDA,17.162.629/0001-30,AVENIDA ANTONIO CARLOS,3550,,CACHOEIRINHA,31210-800,GNV,06/07/2022,"5,19",,R$ / m³,ALESAT
